start_date,mid_date,end_date,firm_coarse,firm_index,tpp_alp,tpp_lnc,tpp_alp_se,tpp_lnc_se,day_index
2012-11-10,2012-11-14,2012-11-18,Morgan,6,0.505,0.495,0.014801491030371688,0.014801491030371688,3049
2012-11-23,2012-11-24,2012-11-25,Newspoll,7,0.49,0.51,0.012903061936162584,0.012903061936162584,3059
2012-11-24,2012-11-28,2012-12-02,Morgan,6,0.475,0.525,0.014783716792761858,0.014783716792761858,3063
2012-11-27,2012-11-28,2012-11-29,Morgan,6,0.49,0.51,0.01479927041809749,0.01479927041809749,3063
2012-12-07,2012-12-08,2012-12-09,Newspoll,7,0.46,0.54,0.012864278975168645,0.012864278975168645,3073
2012-12-08,2012-12-12,2012-12-16,Morgan,6,0.525,0.475,0.014783716792761858,0.014783716792761858,3077
2013-01-05,2013-01-09,2013-01-13,Morgan,6,0.485,0.515,0.014795568657010517,0.014795568657010517,3105
2013-01-09,2013-01-11,2013-01-13,Essential,2,0.46,0.54,0.015366251104410675,0.015366251104410675,3107
2013-01-11,2013-01-12,2013-01-13,Newspoll,7,0.49,0.51,0.012903061936162584,0.012903061936162584,3108
2013-01-16,2013-01-18,2013-01-20,Essential,2,0.46,0.54,0.015366251104410675,0.015366251104410675,3114
2013-01-19,2013-01-23,2013-01-27,Morgan,6,0.495,0.505,0.014801491030371688,0.014801491030371688,3119
2013-01-23,2013-01-26,2013-01-28,Essential,2,0.46,0.54,0.015366251104410675,0.015366251104410675,3122
2013-02-01,2013-02-02,2013-02-03,Galaxy,3,0.46,0.54,0.015366251104410675,0.015366251104410675,3129
2013-02-01,2013-02-02,2013-02-03,Newspoll,7,0.44,0.56,0.012812385746391021,0.01281238574639102,3129
2013-02-01,2013-02-03,2013-02-04,Essential,2,0.46,0.54,0.015366251104410675,0.015366251104410675,3130
2013-02-02,2013-02-03,2013-02-03,Morgan,6,0.485,0.515,0.014795568657010517,0.014795568657010517,3130
2013-02-07,2013-02-09,2013-02-10,Essential,2,0.45,0.55,0.015338388432159929,0.015338388432159927,3136
2013-02-09,2013-02-10,2013-02-10,Morgan,6,0.4475,0.5525,0.014720407710220769,0.014720407710220769,3137
2013-02-14,2013-02-15,2013-02-16,Nielsen,8,0.44,0.56,0.015304265167573113,0.01530426516757311,3142
2013-02-14,2013-02-16,2013-02-17,Essential,2,0.46,0.54,0.015366251104410675,0.015366251104410675,3143
2013-02-16,2013-02-20,2013-02-24,Morgan,6,0.46,0.54,0.014754787989802294,0.014754787989802294,3147
2013-02-21,2013-02-23,2013-02-24,Essential,2,0.44,0.56,0.015304265167573113,0.01530426516757311,3150
2013-02-22,2013-02-23,2013-02-24,Newspoll,7,0.45,0.55,0.012840952974155658,0.012840952974155656,3150
2013-02-28,2013-03-02,2013-03-03,Essential,2,0.44,0.56,0.015304265167573113,0.01530426516757311,3157
2013-02-28,2013-03-02,2013-03-03,Morgan,6,0.4575,0.5425,0.01474866116415213,0.01474866116415213,3157
